"Have.you.ever.celebrated.Halloween.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Angel.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Athlete.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Bat.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Cat.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Character.from.a.movie.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Character.from.a.TV.show.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Clown.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Devil.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Doll.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Dinosaur.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Ghost.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Fairy.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Food.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Frankenstein.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mermaid.merman..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mouse.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mummy.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Musician.Actor.Artist.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Ninja.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...A.pun.based.costume.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Pirate.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Police.Officer.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Politician.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Prince.Princess.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Pumpkin.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Skeleton.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Superhero.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Supervillain.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Vampire.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Witch..not.from.movie.TV.show..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Wizard..not.from.movie.TV.show..or.Washington.Wizards..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Zombie.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Other.monster.not.listed.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Other.animal.not.listed.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Something.else.not.listed.","Did.you.ever.go.to.haunted.houses...","Did.you.ever.go.trick.or.treating.","Why.didn.t.you.go.trick.or.treating.","Do.you.wish.you.had.gone.trick.or.treating.","How.old.were.you.when.you.started.going.trick.or.treating.","How.old.were.you.during.your.last.year.of.going.trick.or.treating.","Do.you.still.go.trick.or.treating.for.yourself.or.with.friends.","What.was.your.favorite.candy.","What.was.your.least.favorite.candy.","Why.didn.t.you.celebrate.Halloween.as.a.kid.","Each.year..do.you.usually.attend.a.Halloween.party.","Describe.Halloween.in.three.words","What.is.your.gender.","What.is.your.race.","Are.you.Hispanic.and.or.Latino.a","What.is.your.age.group.","As.a.child..was.your.birthday.between.the.start..of.school.and.Halloween..or.after.Halloween.","Which.region.of.the.US.do.you.live.in.","Do.you.still.go.trick.or.treating.for.yourself.with.friends."
"Yes","","","","","When you were 9 or younger","","When you were 9 or younger","","","","When you were 9 or younger","","","","","","","","","","As an adult","","","","","","","","When you were 10 to 17","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","","as an adult (18+)","Yes","","","1","15",NA,"Reeses peanut butter cups","Jaw breakers","","Always/almost always","Fun Amazing Love","Female","White","No","25-34","After Halloween","Southeast","No"
"Yes","","","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","","","","","","","","As an adult","","","","","","","","","","","","When you were 9 or younger","","","","","","as an older child (10-17);as an adult (18+)","Yes","","","2","17","No","Reese’s","Anything fruity rather than chocolatey","","Rarely","Spooky scary October","Female","White","No","18-24","After Halloween","Midwest",NA
"Yes","","","","As an adult","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","","","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","As an adult","","","","","","","","","","","","Yes","","","5","33",NA,"Resse peanut butter cups","Tootsie roll","","Sometimes","Spooky fun yummy","Female","Black/African American","No","25-34","Between start of school and Halloween","Southwest","Yes"
"Yes","When you were 9 or younger","","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17;As an adult","As an adult","","","When you were 9 or younger","","","When you were 10 to 17;As an adult","","","","","","","As an adult","","","","","When you were 9 or younger","","As an adult","","","As an adult","As an adult","As an adult","","As an adult","As an adult","As an adult","as an adult (18+)","Yes","","","3-5","13-15","No","do not remember","neccos","","Sometimes","fun and delicious","Female","White","No","45-54","After Halloween","West",NA
"Yes","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","","Yes","","","4","14","No","","","","Sometimes","Fun playing dressup","Female","White","No","25-34","After Halloween","Southwest",NA
"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Parents forbade it for non-religious reasons","Never","Pumpkin Sp00ky American","Male","White","Yes","18-24","After Halloween","I do not live in the United States",NA
"Yes","When you were 9 or younger","","","When you were 9 or younger;As an adult","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17;As an adult","","As an adult","","","","","","","When you were 9 or younger","","","","","As an adult","","","","When you were 9 or younger","","","","","When you were 10 to 17","","","","","When you were 9 or younger;As an adult","","as an older child (10-17)","Yes","","","0-1","12-14","Yes","Reese cups","Those fruit punch type candies","","Always/almost always","Fun spooky costumed","Female","White","No","25-34","Between start of school and Halloween","Midwest",NA
"Yes","","When you were 9 or younger","","","","","","","","","When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","","","","","as an older child (10-17)","Yes","","","12-14","16",NA,"Reese's peanut butter cups","Can't think of one","","Rarely","I like scary","Male","White","No","55+","Between start of school and Halloween","West","No"
"Yes","","","","","","As an adult","As an adult","As an adult","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","When you were 10 to 17","","","","","","As an adult","as a younger child (9 and under)","Yes","","","6","16",NA,"Peanut M and M s","Peppermints","","Sometimes","Autumn fun childhood","Female","White","No","45-54","Between start of school and Halloween","Southeast",""
"Yes","","","","","As an adult","","","","","","","","","","","","","","When you were 10 to 17","","","","","","","","","","","","","","","","","as an older child (10-17);as an adult (18+)","Yes","","","10","44","Yes","twix","fruit","","Always/almost always","Fun family time","Male","White","Yes","35-44","After Halloween","Southeast",NA
"Yes","","When you were 9 or younger","","","As an adult","As an adult","","","","","","","","","","","When you were 9 or younger","As an adult","When you were 9 or younger","As an adult","","","","","","","","","When you were 10 to 17","","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","3","12","","Reeces","Candy corn","","Rarely","Night candy costumes","Male","Other","Yes","35-44","After Halloween","West",NA
"Yes","When you were 10 to 17","","","When you were 10 to 17;As an adult","As an adult","As an adult","","","","","","When you were 10 to 17","","","As an adult","","","","","","","","","When you were 10 to 17;As an adult","","","","","","As an adult","","","","As an adult","","as a younger child (9 and under)","No","Didn't want to go","No","","","","","","","Always/almost always","spooky fun american","Female","Asian","No","18-24","After Halloween","Southeast",NA
"Yes","","","","","As an adult","","","When you were 10 to 17","","","","","","","As an adult","","","As an adult","","","","","","When you were 9 or younger","","","","","","As an adult","","","","When you were 9 or younger;As an adult","When you were 9 or younger;When you were 10 to 17;As an adult","as an older child (10-17)","Yes","","","3-4","15","No","nerds","kit kat","","Always/almost always","spooky scary skeletons","Female","White","No","25-34","After Halloween","Northeast",NA
"Yes","","","","","When you were 9 or younger","","","When you were 9 or younger","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","When you were 10 to 17","","","When you were 10 to 17","When you were 10 to 17","","As an adult","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","4","14","No","kit-kat","licorice ","","Always/almost always","Aesthetic Fun Nostalgic","Male","White","No","18-24","After Halloween","West",NA
"Yes","","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","When you were 9 or younger","When you were 9 or younger","","","When you were 10 to 17;As an adult","","","","","","","","","","","","","","","","","","","","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","1","17","No","Reeses ","Almondjoy or raisins or mounds","","Always/almost always","Magical dark fun","Male","White","No","25-34","Between start of school and Halloween","Northeast",NA
"Yes","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","When you were 10 to 17","","Yes","","","2-4","14","No","King sized Hershey bars","None","","Never","Birthday candy cake","Male","White","No","Under 18","Prefer not to answer/I don't know","Midwest",NA
"Yes","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","When you were 10 to 17","","","When you were 9 or younger;When you were 10 to 17","as an older child (10-17)","Yes","","","3-4","14",NA,"Bubble gum ","Tootsie rolls","","Never","Fun playful exciting","Female","White","No","35-44","After Halloween","Midwest","No"
"Yes","","","","When you were 9 or younger","","As an adult","When you were 9 or younger","","","","When you were 9 or younger","","","","","When you were 9 or younger","","","","","When you were 10 to 17;As an adult","","","","When you were 9 or younger","","","","","When you were 10 to 17","","","","","When you were 10 to 17;As an adult","as a younger child (9 and under);as an older child (10-17)","Yes","","","5-7","15","No","KitKats","Black liquorish","","Rarely","Clam low-key candy-filled","Female","White","No","25-34","After Halloween","Southeast",NA
"Yes","","","When you were 9 or younger","When you were 9 or younger","When you were 10 to 17","","When you were 9 or younger","","","","","","When you were 10 to 17","","","","","When you were 10 to 17","","","","","","","","","","","","","","","","","","as an older child (10-17)","Yes","","","6","13","Yes","Snickers","Candy corn ","","Sometimes","Costumes candy autumn","Male","White","No","35-44","Between start of school and Halloween","Southeast",NA
"Yes","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","When you were 10 to 17","When you were 10 to 17","","When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","4","11-12",NA,"Three musketeers","Suckers","","Always/almost always","Hauntingly great day","Female","White","No","45-54","After Halloween","Midwest","No"
"Yes","","","","When you were 9 or younger","When you were 9 or younger","","","When you were 9 or younger","","","","","","","","","","","","","When you were 10 to 17","","","When you were 9 or younger","","","","","When you were 10 to 17","When you were 9 or younger;As an adult","","When you were 10 to 17","","When you were 10 to 17","","as a younger child (9 and under);as an older child (10-17)","Yes","","","3","16","No","Reeses","Woopers","","Never","Spook scary skeletons","Male","White","No","18-24","After Halloween","Northeast",NA
"Yes","When you were 9 or younger","As an adult","","","","","As an adult","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 9 or younger","as an adult (18+)","Yes","","","4","29","No","smarties, candy corn","the orange and black ""taffy""","","Never","witchcraft sacrifice devil","Female","White","No","55+","After Halloween","Southwest",NA
"Yes","","","","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 9 or younger","When you were 9 or younger","","","","","","When you were 9 or younger","","","","","","","","","","","","When you were 9 or younger","","","","","","When you were 10 to 17","","","","When you were 9 or younger;When you were 10 to 17","","as an older child (10-17)","Yes","","","7","18","","Twix","Dots","","Rarely","Fun rewarding tiring","Female","White","No","18-24","Between start of school and Halloween","Southeast",NA
"Yes","","","","As an adult","","","","","","","","When you were 9 or younger","","","","","","","","","","","","When you were 9 or younger","When you were 9 or younger","","","","","","","","","","","as an adult (18+)","Yes","","","5-7","13-14","No","Crunch Bars","Candy Corn","","Rarely","Spooky cute fun","Female","Other","Yes","18-24","After Halloween","Midwest",NA
"Yes","","","","When you were 9 or younger","","","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 9 or younger","","No","Didn't want to go","No","","","","","","","Never","Obnoxious juvenile worthless","Female","White","No","18-24","After Halloween","Northeast",NA
"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","as a younger child (9 and under)","Yes","","","4-7","9","No","no clue, probably something sweet and moderately tart","like champagne flavored chocolate idk","","Never","haunted sweet-toothed costumers","Male","White","No","Under 18","After Halloween","Southeast",NA
"Yes","","","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 10 to 17","","When you were 10 to 17","","When you were 10 to 17","","","","","","","","","","","","","","When you were 10 to 17","","","","","","","","","","","","as an adult (18+)","Yes","","","8","14",NA,"Skittles","Rolos","","Sometimes","Very good time","Female","White","No","18-24","After Halloween","Southeast","No"
"Yes","","","","","","When you were 10 to 17","","","","","When you were 10 to 17","When you were 9 or younger","","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","as an older child (10-17)","Yes","","","6","15",NA,"Reese peanut butter cup","Hard candy ","","Rarely","Candy spooky fun","Female","White","No","55+","Between start of school and Halloween","Midwest","No"
"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Religious reasons","Never","American marketing ploy","Male","Other","No","35-44","After Halloween","I do not live in the United States",NA
"Yes","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","","","","","","Yes","","","5","15","","Dark chocolate","Anything with nuts","","Never","Spooky fun sweet","Male","White","No","18-24","After Halloween","Northeast",NA
"Yes","","","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","08","13",NA,"Snickers ","Mounds ","","Sometimes","Fun spooky scary","Female","White","No","45-54","After Halloween","Southwest","No"
"Yes","","","","","","","When you were 9 or younger","","","","When you were 9 or younger","","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 9 or younger","","","","When you were 9 or younger","","When you were 9 or younger","as an adult (18+)","Yes","","","4","10",NA,"Candy corn","Butterscotch ","","Always/almost always","Fearfully frightening joy","Female","White","No","55+","After Halloween","Southwest","Yes"
"Yes","","","","","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","","","","","","","","","","When you were 10 to 17","When you were 9 or younger","","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","When you were 9 or younger","","When you were 10 to 17","as an older child (10-17);as an adult (18+)","Yes","","","5-7","15",NA,"Chocolate","No candy!","","Sometimes","Spooky scary skeletons","Male","White","No","35-44","After Halloween","West","No"
"Yes","One of these ranges, but I forget","","","","As an adult","","","","","","","","As an adult","","","","","","","","","","","One of these ranges, but I forget","","","","","","","","","","","","","Yes","","","13","14","","whoppers","tootsie rolls","","Rarely","scary spooky spoopy","Female","White","No","18-24","Prefer not to answer/I don't know","Midwest",NA
"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","As an adult","","","","When you were 10 to 17","","","","","As an adult","as a younger child (9 and under)","Yes","","","11","13","No","","","","Always/almost always","fun night out","Female","White","No","25-34","After Halloween","I do not live in the United States",NA
"Yes","","","","As an adult","","","","","","","","","","","","","","As an adult","","","","","","","","","","","","As an adult","","","","","As an adult","as an adult (18+)","Yes","","","5-7","8-10",NA,"Anything chocolate ","Peanut butter kisses","","Never","Decorations candy costumes","Female","White","No","55+","After Halloween","Midwest","No"
"Yes","When you were 9 or younger","","","","","","","","When you were 10 to 17","","When you were 9 or younger","","","","","When you were 9 or younger","","","","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 9 or younger","","As an adult","","","","","","","","When you were 10 to 17","as a younger child (9 and under)","Yes","","","4-6","13-14",NA,"Almond Joy","Juice Box","","Rarely","Fun goofy candy","Female","White","No","25-34","After Halloween","Midwest",""
"Yes","When you were 9 or younger","","","When you were 9 or younger;When you were 10 to 17","When you were 10 to 17","","","","","","","When you were 9 or younger","","","","","","","","","When you were 10 to 17","","","","","","","","When you were 10 to 17","","","","As an adult","","When you were 10 to 17;As an adult","","Yes","","","3","13","No","Caramel Apple Lollipops","Popcorn Balls","","Sometimes","Spooky Fun Best","Female","American Indian/Alaska Native;White","No","18-24","After Halloween","Midwest",NA
"Yes","","","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 10 to 17","","When you were 9 or younger","","","When you were 9 or younger","","","When you were 10 to 17","When you were 10 to 17","","When you were 9 or younger","When you were 10 to 17","","When you were 10 to 17","When you were 10 to 17","","","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","When you were 10 to 17","","","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","as an older child (10-17);as an adult (18+)","Yes","","","2-15","15",NA,"Reese","Black licorice","","Always/almost always","Extremely Hauntingly Decorated","Male","American Indian/Alaska Native;White","No","45-54","After Halloween","Northeast","No"
"Yes","","","","When you were 9 or younger","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 10 to 17","","","as an older child (10-17)","Yes","","","5","13","No","","","","Never","overplayed boring expanding","Male","White","No","25-34","After Halloween","Northeast",NA
"Yes","","One of these ranges, but I forget","","","One of these ranges, but I forget","As an adult;One of these ranges, but I forget","","","","","","","","","","","","","","One of these ranges, but I forget","","","When you were 9 or younger","","","When you were 10 to 17","When you were 9 or younger","","When you were 10 to 17","","","","","","One of these ranges, but I forget","as an adult (18+)","Yes","","","2","16","No","sour gummy worms","anything peanut-butter flavored (Reese's was okay)","","Always/almost always","finally weird accepting","Male","American Indian/Alaska Native;White;Other","Yes","18-24","After Halloween","Midwest",NA
"Yes","","","","","When you were 9 or younger","","","When you were 9 or younger","","","","","","","","","","","","When you were 10 to 17","","","","","","","","","","","","","","","","","Yes","","","3-4","13","No","Kit Kats","Snickers","","Rarely","Diabetes sleep-deprivation lame","Male","White","No","18-24","Between start of school and Halloween","West",NA
"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Didn't want to","Never","Stupid boring holiday","Male","White","No","18-24","After Halloween","I do not live in the United States",NA
